词语,全拼音,同形,义项,前照应,后照应,仅主前后,连体,连谓,连句,兼类,备注
并,bing4,,并且,,,,,谓,,d,讨论~通过了这项计划
并且,bing4qie3,,表示意思更进一层,"不但,不仅",,前,,谓,句,,"我不但到过杭州,~在那里住过半年/你个子长高了,~身体长壮了"
不单,bu4dan1,,"表示意思进一层,强调程度",,"而且,并且,也,还",兼,体,谓,句,,"这书包~式样美观,而且适用/他家~不愁吃穿,并且还有很多积余"
不但,bu4dan4,,"表示意思进一层,强调程度",,"而且,并且,也,还",兼,体,谓,句,,"~所有的学生,而且所有的老师都参加了劳动"
不管,bu4guan3,,在任何条件下结果、结论一样,,"都,也,总,始终,一直",兼,,谓,句,,"我们~做什么工作,都应该做好/~题目怎样难,我也要把他解出来"
不光,bu4guang1,,表示意思进一层,,"而且,并且,也,还",兼,体,谓,句,,~好看而且耐用
不过,bu4guo4,,表示前后意思转折,"虽然,尽管",,前,,谓,句,d,"他性子一向很急,~现在好多了/尽管实验失败了,~我还想实验一次"
不仅,bu4jin3,,表示意思进一层,,"还,而且,并且,也",兼,体,谓,句,,"他~是科学家,而且还是一位演员/~男生,而且女生也全部参加"
不论,bu4lun4,,在任何条件下结果、结论一样,,"还是,也,总,都,始终,一直",兼,,谓,句,,"~你去还是我去,总得去一个人/我~考取哪个学校,都会安心学习"
不如,bu4ru2,,经比较得出满意的结论,与其,,兼,,谓,句,v,"与其你去,~我顺便走一趟/与其等车,~走路/我与其乘车去还~走路去"
不说,bu4shuo1,,,,,兼,,谓,句,,"这两个月我可有体会了,筋疲力尽~,主要是提心吊胆"
不只,bu4zhi3,,表示意思进一层,,"而且,也,并且,还",兼,体,谓,句,,"这钢笔~式样好看,而且便宜/他家~两个人,而且还有爷爷奶奶"
除非,chu2fei1,,,,"否则,才,不然,要不",兼,,谓,句,,"~妈妈叫我,否则我不回去/他~不出去,一出去就是一天"
此外,ci3wai4,,除此之外,,,前,,谓,句,,"他一生就写了两本书,~没有别的著作了/他们去农村演出,~他们还做农村调查"
从而,cong2er2,,,由于,,,,谓,,,"我们赶走了帝国主义,~建立了新中国/由于技术革新,~大大提高生产率"
但,dan4,,表示意思转折,"虽,虽然,尽管","也,还,却",前,,谓,句,d,"实验失败了,~他一点也不灰心"
但是,dan4shi4,,表示意思转折,"虽,虽然,尽管","也,还,却",前,,谓,句,,"文章尽管不长,~读起来却十分有味/我是广东人,~我没去过广东"
而,er2,1,转折,,,前,,谓,句,,"这种苹果大~不甜/南方春暖花开,~北方还大雪纷飞"
而,er2,2,并列互相补充,,,,,谓,,,少~精/严肃~认真
而,er2,3,连接状语和中心语,"为,为了,因为,通过",,,,谓,,,"江水滚滚~来/为革命~努力学习文化/通过实践,~发现真理"
而,er2,4,表示过渡,,,,,,句,,由南~北
而且,er2qie3,,表示意思进一层,"不但,不仅,不光,不只",,前,体,谓,句,,"鲁迅不但是文学家,~是思想家/本月不但超产了,~质量也提高了"
而是,er2shi4,,,不是,,前,,谓,句,,"不是我不让他来,~他不愿意来"
反之,fan3zhi1,,表示前后意思正好相反,,,前,,,句,,"产品质量好,群众欢迎,~产品质量低劣,群众有意见。"
否则,fou3ze2,,"不然,要不,如果不这样",除非,的话,前,,谓,句,,"除非你亲口尝一尝,~你就不会知道梨子的滋味。"
跟,gen1,,"和,同;表示并列",,,后,体,谓,,pv,小李~我都是山西人/她学习~锻炼身体都安排得很好
何况,he2kuang4,,"表示意思进一层,带有前后对比","尚且,都,也,又,更","还,又",兼,体,谓,句,,"这种做法很难,~他又是新手/平时公园里的人就很多,更~元旦呢/他连走路都不稳~跑呢"
和,he2,,连接并列的词或词组,"无论,不论,不管",,后,体,谓,,pv,无论数量~质量都有很大的提高
还是,hai2shi5,,表示在几项中选择一项,"还是,无论,不管","还是,都,总",兼,体,谓,,d,"你是同意~不同意?/不管刮风~下雨,他……/老张~老王去"
或,huo4,,或者,"或,无论,不管,不论",或,兼,体,谓,句,d,我明天~后天去日本/~你去~我去
或是,huo4shi4,,,或是,或是,兼,体,谓,句,,"~星期一,~星期二/星期一~星期二"
或者,huo4zhe3,,表示选择关系,"或者,无论,不管,不论",或者,兼,体,谓,句,d,"无论城市~乡村,到处都生机勃勃"
及,ji2,,"和;以及,连接局部和全体",,,后,体,谓,,,这人吃饭~睡觉都占用工作时间/工人、农民~知识分子都是劳动人民
即便,ji2bian4,,就算是,,"也,还",兼,体,谓,句,,"你~再晚一小时也还来得及/飞机票~有,时间也不够了"
即使,ji2shi3,,就算是,,"也,还",兼,体,谓,句,,~很细微的细节他现在都记得
既,ji4,1,既然,,"就,便,那,那么,也,还",后,,谓,句,d,"你~来了,就住下吧。"
既,ji4,2,表示并列,,"又,且,也,亦",后,,谓,句,d,这衣服~美观又大方
既然,ji4ran2,,已经这么着,,"那么,就,也,还",兼,,谓,句,,"你~来了,就别走了/~老区人民需要你,那么你就去吧"
假如,jia3ru2,,如果,,"那么,就,那,则,便",兼,,谓,句,,"~有问题可以随时来找我/你~来北京,就把书带来"
假若,jia3ruo4,,如果,,"那么,就,那,则,便",兼,,谓,句,,"~他不乐意,那么就算了"
假使,jia3shi3,,如果,,"那么,就,那,则,便",兼,,谓,句,,"~你有时间,便立刻动身吧"
尽管,jin3guan3,,"虽然,即使",,"但,但是,可是,然而,也,仍然,还是",兼,,谓,句,d,"他~有病,可是仍然很乐观/~他很忙,还是抽时间劳动"
进而,jin4er2,,"进一步,然后","又,再,才,并",,,,谓,句,,"学好基础课~学好专业课/完成这一任务,他们又~致力于另一任务"
就,jiu4,,"即使,就是",,"也,还是",后,,谓,句,vdp,"他~不说我们也知道/我~再胖,还是赶不上你/你~说得再好听,我也不相信"
就是,jiu4shi4,,表示假设的让步,不是,也,兼,,谓,句,d,你~说错了也没什么关系/~他来这里也没用
可,ke3,,"可是;但是,表示转折","虽,虽然,尽管",,兼,,谓,句,vd,"嘴上不说,心里~想呢/他个子不大,~力气却不小"
可见,ke3jian4,,"承接上文,作出判断",既然,,前,,谓,句,,"既然他没回信,~他不在家"
可是,ke3shi4,,转折,"虽然,尽管,固然","也,还,却",兼,,谓,句,d,"文章虽然短~内容很丰富/嘴里不说,他心里~很想念"
况且,kuang4qie3,,,,"又,也,还",前,,谓,句,,"光盘容量大,~也不贵,可以买几块/上海变化很大,~我又很多年没去,很难找到他"
另外,ling4wai4,,此外,,,前,,,句,dr,"报告我已写完,~还附了几道思考题/东西交给他了,~我还告诉他电话号码"
那么,na4me5,,根据假定或事实说出结果,"如果,既然",,前,,谓,句,r,"雨停了,~我们起程吧"
宁可,ning4ke3,,,与其,"决不,也不,也要",兼,,谓,句,d,"我~少睡点儿,也要把这个任务完成/~我多干点,也不能累着你"
宁肯,ning4ken3,,,与其,"决不,也要,也不",兼,,谓,句,d,"与其你来,~我去"
宁愿,ning4yuan4,,,与其,"也不,决不,也要",兼,,谓,句,d,"我~多干点儿,也不拖大家的后腿"
其次,qi2ci4,,表次序,"首先,第一",,前,,谓,句,r,"首先主席讲话,~总理做报告/技术差还在~(r)"
然而,ran2er2,,表示意思转折,"虽然,尽管,固然","也,还,却",前,,谓,句,,他实验失败了~一点不灰心
然后,ran2hou4,,接着,"首先,先","再,又,还,才",兼,,谓,句,,"先考虑一下,~你再答复我/我先锻炼~再吃饭"
任凭,ren4ping2,,"不管,不论,无论,即使",,"也,都,还是",前,,谓,句,v,"~敌人来多少,我们都要顶住"
如,ru2,,表示假设,,"则,那么,就,那",后,,谓,句,v,"小洞~不及时补,则后来就无法修理了"
如果,ru2guo3,,表示假设,,"那么,则,就,那",兼,,谓,句,,
是因为,shi4yin1wei4,,,之所以,,兼,,谓,句,,"昨天他之所以没来,~生病了"
虽,sui1,,,,"可是,倒,但,可,却,还是,但是",后,,谓,句,,"话~尖刻,却说得有道理"
虽然,sui1ran2,,"纵然,即使",,"倒,还是,但是,但,可是,可,却",兼,,谓,句,,"我~很喜欢诗词,可是不会写/~是夏天,但是北京不热"
虽说,sui1shuo1,,,,"还是,但,但是,可是,可,却",兼,,谓,句,,
所以,suo3yi3,1,用在下半句表示结果,"因为,由于,因",,前,,谓,句,,"这个会很重要,~要求大家都参加/我们是人民公仆,~我们如果有缺点,就要改正"
所以,suo3yi3,2,"与""之所以""同",,"(是)因为,(是)由于,(是)为了",后,,谓,句,,"大家~向他学习,是因为他思想好"
同,tong2,,表示并列,,,后,体,,,pvd,俄语~日语我们都学过
万一,wan4yi1,,"如果,假设的可能性很小",,"那么,就",兼,,谓,句,d,"~他来不了,我只好先走了/防止~发生意外(d)"
无论,wu2lun4,,,,"都,也,还,仍然,总,始终,一直",兼,,谓,句,,"我们~做什么工作,都应该事先做好准备"
要,yao4,1,"要是,如果",,"就,那",兼,,谓,句,v,"~不肯就算了/~明儿个天气好,上香山玩去"
要,yao4,2,要么,要,"就,要,就是",兼,,谓,句,v,"~就去打球,~就去溜冰/你~就去,~就不去"
要不,yao4bu4,,"不然,否则;或者或是",,的话,兼,,谓,句,,"主语为""你""时,可以在主后/仙人球怕冷,冬天要搬家,~的话就会冻死"
要不然,yao4bu4ran2,,,,,兼,,谓,句,,"去打球怎样?~我们去公园划船/你~在家等,~自己去一次"
要么,yao4me5,,或者,要么,要么,兼,,谓,句,,"你~去教室,~去打球/~你去,~他来"
要是,yao4shi5,,"如果,假如",,"那么,就,那,的话",兼,体,谓,句,,"~别人,这事不一定能办成/你~看见他,告诉他一声"
一旦,yi1dan4,,,,就,兼,,谓,句,,"~电站建成,能源问题就可以大大缓和/失足青年~改正错误仍然有出路"
一方面,yi1fang1mian4,,,,"另一方面,又,也,还",兼,,谓,句,,"~增加生产,~又要厉行节约/~我们要有干劲,另~要实事求是"
以,yi3,,"用来,拿来;表示目的",,,后,,谓,,p,"我们增产节约,~支援国家建设"
以及,yi3ji2,,表示并列,,,后,体,谓,句,,学生、工人~各界人士的代表……/那里的气候怎样?~当地的风俗民情怎样?
以至,yi3zhi4,1,直到,,,后,体,谓,,,循环往复~无穷/生产效率提高几倍~几十倍
以至,yi3zhi4,2,"与""以至于""相同",,,前,,,句,,用在下半句/~使很多人感到惊奇
因,yin1,,"原因,理由;强调因果",,"故,所以,而",兼,,谓,句,p,~缺乏经验而失败
因此,yin1ci3,,表示因果关系,由于,,前,,,句,,"由于事前没有预防措施,~这次台风造成了损失"
因而,yin1er2,,表示推论因果关系,由于,,前,,谓,句,,"大家认识到锻炼的重要性,~人人积极参加锻炼/暗藏的敌人比公开的敌人更难识破,~更危险"
因为,yin1wei4,,"原因,理由;强调因果",,"所以,故,而",兼,,谓,句,p,"他~很努力,所以进步很快/我们必须学好本领,~这是祖国的需要"
由于,you2yu2,,表示原因或理由,,"因此,所以,因而",兼,,谓,句,p,"他们~住的远,所以天天很早出门/~这个厂缺少管理制度,所以生产混乱,质量上不去"
于是,yu2shi4,,"这就,这才,因此",,,兼,,谓,句,,"小华~高兴起来了/在老师的带领下,~一个业余合唱团成立了"
与,yu3,,和;连接并列词或词组,,,后,体,谓,,p,战争~和平/工业~农业
与其,yu3qi2,,,,"宁可,不如,宁肯,宁愿",兼,,谓,句,,"~多而滥宁肯少而精/~我去,不如你去/天气很好,~在家坐着不如出去走走"
再说,zai4shuo1,,"有""而且"",""并且"",""况且""之意",,,前,,谓,句,,"时间已不早了,~你身体又不好,该休息了"
再者,zai4zhe3,,,,,后,,谓,句,,"丧事简办,一则可以节省开支,~可以减少很多麻烦"
则,ze2,1,推论;转折,"既然,假如,既,如果",,前,,谓,句,q,"她平时话不多,学术讨论时~往往滔滔不绝/好~好,只是太贵"
则,ze2,2,"列举原因,理由",,,,,谓,句,q,"一~乏力,二~脚痛,三~事情已办妥"
之所以,zhi1suo3yi3,,,,"是因为,是由于,是为了",后,,谓,句,,"他~学习成绩很好,是因为平时学习很刻苦"
只要,zhi3yao4,,,,"就,便,都,总",兼,,谓,句,,"你~有决心,总可以把本领学到手/~大家同意就可以"
只有,zhi3you3,,,,"才,还",兼,,谓,句,d,"~大家齐心协力,才能按期完成任务"
总之,zong3zhi1,,总起来说;反正,,,前,,,句,,"上海,杭州,武汉,~各大城市……/你不用多问,~这事与你无关"
