词语,全拼音,子类,结构性质,组合要求,前照应词,兼类,备注
得,de5,结,谓,va,,,累~上气不接下气
的,de5,结,体谓,nvabstrzf,,,
的话,de5hua4,,谓,vcd,"如果,要是,假如",,"否则~/他同意当然好,不然~,就得另找人"
等,deng3,,体谓,nvbsram,,qv,吃饭、穿衣~
等等,deng3deng3,,体谓,nvbamsr,,,
地,de5,结,副,azdn,,,
而言,er2yan2,,谓,nvr,"就,对",,对……而言
过,guo5,动,谓,va,,,
开外,kai1wai4,,体,mq,,,
来讲,lai2jiang3,结,谓,nvr,"就,对",,对……来讲
来说,lai2shuo1,结,谓,nvr,"就,对",,
了,le5,动,谓,va,,y,都大学生~(y)
说来,shuo1lai2,结,谓,nv,"就,对",,
似的,shi4de5,,谓,nvar,"像,好像,仿佛",,他乐得什么~/大地仿佛睡着了~
所,suo3,结,体,v,"为,被",qn,这个结论早已被实践~证明/车子为冰雪~阻
为止,wei2zhi3,结,副,tvsn,到,,南到广州~
一样,yi1yang4,,谓,nv,"和,跟,像,好像,如同",a,好像飞~跑了/这两朵花颜色不~(a)
云云,yun2yun2,,体谓,vn,,,"多用于句末,表示省略或结束/满口""和平、援助、友谊""~,全是鬼话"
者,zhe3,结,体,m,,k,三~取一/先进工作~(k)
之,zhi1,结,体,nvart,,r,光荣~家
着,zhe5,动,谓,va,"正,正在",,外面正下~雨呢
